Name,Price,Vendor,Avaliability,SKU
Goves Stainless Steel Table Gas Cooker-2 Burners,"₦11,500.00",Elowhite Concept ICT Company,In stock,53973
Maximus Table Top Gas Burner - M004,"₦17,500.00",Elowhite Concept ICT Company,In stock,53980
Ronda Double Burner Table Top Glass Gas Cooker,"₦14,000.00",Elowhite Concept ICT Company,In stock,53995
Super Master Three Burners Gas Cooker SMG3110,"₦10,000.00",Elowhite Concept ICT Company,In stock,54005
Sparta 2 Stainless Table Top Gas Burner,"₦20,000.00",Elowhite Concept ICT Company,In stock,54146
GSR Ruby 56 Ceiling Fan -White,"₦18,400.00",Elowhite Concept ICT Company,In stock,55854
"GSR Ceiling Fan - 24"" 4 Short Blades (Speedy)","₦14,100.00",Elowhite Concept ICT Company,In stock,55857
Laundry Bags,"₦12,000.00",Shopahome,In stock,59696
Hisense RD-49DR 375L Top Freezer Refrigerator| HISREF49DR-RD,"₦598,200.00",LG/ Hisense/ Maxi Shopahome,In stock,20271
Hisense 67WSI 518L Side by Side Refrigerator| HISREF67WSI,"₦688,100.00",LG/ Hisense/ Maxi Shopahome,In stock,20270
Hisense 76WSN 564L Side by Side Refrigerator| HISREF76WSN,"₦897,800.00",LG/ Hisense/ Maxi Shopahome,In stock,20269
Hisense FC180SH 144L Chest Freezer| HISFRZ180SH-FC,"₦208,800.00",LG/ Hisense/ Maxi Shopahome,In stock,20268
Hisense FC250SH 189L Chest Freezer| HISFRZ250SH,"₦237,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20267
Hisense WM503-WSPA 5KG Top Load Twin Tub Washing Machine| HISWM503WSPA,"₦95,200.00",LG/ Hisense/ Maxi Shopahome,In stock,20264
Hisense WM1302T-WTJA 13KG Top Load Washing Machine| HISWM1302T-WTJA,"₦426,000.00",LG/ Hisense/ Maxi Shopahome,In stock,20263
Hisense Portable AC 1.5HP| HISPAC15HP,"₦295,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20260
Hisense H20MOMS10 700W 20L Microwave Oven| HISMWO20MOMS10-H,"₦73,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20252
Hisense H36MOMMI 1000W 36L Microwave Oven| HISMWO36MOMMI,"₦115,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20251
Hisense RS23DR 176L Single Door Refrigerator| HISREF23RSDR,"₦244,100.00",LG/ Hisense/ Maxi Shopahome,In stock,20246
Hisense RS23DR 176L Single Door Refrigerator with Water Dispenser| HISREF23RSDR-WD,"₦286,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20245
Hisense 67WS 516L Side by Side Refrigerator| HISREF67WS,"₦714,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20244
Hisense FC55DD 420L Double Door Chest Freezer| HISFRZ55DD,"₦458,100.00",LG/ Hisense/ Maxi Shopahome,In stock,20242
Maxi Tabletop Gas Cooker 200OC| MAXI200,"₦23,000.00",LG/ Hisense/ Maxi Shopahome,In stock,20153
Maxi Tabletop Gas Cooker 300OC| MAXI300,"₦26,000.00",LG/ Hisense/ Maxi Shopahome,In stock,20152
Maxi 60*60 Tabletop 4 Burner Gas Cooker T-840| MAXI6060 T-840,"₦84,800.00",LG/ Hisense/ Maxi Shopahome,In stock,20150
Hisense Portable Air Purifier| HISAP15K4AF1-AE,"₦127,300.00",LG/ Hisense/ Maxi Shopahome,In stock,20138
King Style Double Electric Steel Yam Pounder And Meat Grinder – 6L - 1000W (TdlG01),"₦22,800.00",CheapandCheap,In stock,12122
"King Style 12L Yam Pounder, Tiger Nut Grinder And Any Dry Grinding","₦44,399.00",CheapandCheap,In stock,1234
Portable Mobile Wardrobe,"₦19,500.00",CheapandCheap,In stock,Portable Mobile Wardrobe
Sokany Sk-560 13Litres Halogen Oven,"₦28,500.00",CheapandCheap,In stock,Sokany Sk-560 13Litres Halogen Oven
Sokany Digital Healthy AirFryer-5L,"₦49,000.00",CheapandCheap,In stock,Sokany Digital Healthy AirFryer-5L
"Sokany AF-002 Air Fryer, 5 Liters - Black","₦43,000.00",CheapandCheap,In stock,"Sokany AF-002 Air Fryer, 5 Liters - Black"
Sokany 10 Litre Electric Air Fryer AF-003,"₦69,000.00",CheapandCheap,In stock,Sokany 10 Litre Electric Air Fryer AF-003
Sokany 6in1 Sandwich Maker Set,"₦21,599.00",CheapandCheap,In stock,Sokany 6in1 Sandwich Maker Set
"Sokany Multifunctional Whole Slow Juicer, 300W JE-32","₦110,000.00",CheapandCheap,In stock,9090090
Silver Crest 6Litres Digital Air Fryer,"₦34,999.00",CheapandCheap,In stock,Silver Crest 6Litres Digital Air Fryer
Flavorwave 2 In 1 Convectional Air Fryer And Oven 12L.-White,"₦33,500.00",CheapandCheap,In stock,12354
Qasa High Power Blender & Grinder - QBL-8008 Pro,"₦39,200.00",CheapandCheap,In stock,Qasa High Power Blender & Grinder - QBL-8008 Pro
Eurosonic (ES-3840) Four Burner Gas Stove.(Silver),"₦23,520.00",CheapandCheap,In stock,Eurosonic (ES-3840) Four Burner Gas Stove.(Silver)
Eurosonic Ice Maker,"₦94,000.00",CheapandCheap,In stock,Eurosonic Ice Maker
Eurosonic Microwave Electric Oven 20L Grilliing Stainless Steel,"₦48,385.00",CheapandCheap,In stock,Eurosonic Microwave Electric Oven 20L Grilliing Stainless Steel
Sokany Ei-9518c 2400w Cordless Rechargeable Steam Iron,"₦27,500.00",CheapandCheap,In stock,Sokany Ei-9518c 2400w Cordless Rechargeable Steam Iron
Sokany Appliance 1508 Electric Kettle Plastic Kettle 1.7L 2200W,"₦17,800.00",CheapandCheap,In stock,Sokany Appliance 1508 Electric Kettle Plastic Kettle 1.7L 2200W
2.0L Sokany Electric Kettle SK-1029,"₦16,500.00",CheapandCheap,In stock,2.0L Sokany Electric Kettle SK-1029
Sokany Glass Blender - 1.5L - 800W,"₦25,900.00",CheapandCheap,In stock,Sokany Glass Blender - 1.5L - 800W
